,hour,total_count,is_holiday_0,is_holiday_1,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
0,0,16,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,40,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,2,32,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3,3,13,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6,6,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7,7,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8,8,8,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9,9,14,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10,10,36,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,11,56,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12,12,84,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13,13,94,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14,14,106,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
15,15,110,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
16,16,93,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17,17,67,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
18,18,35,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
19,19,37,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20,20,36,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
21,21,34,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22,22,28,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
23,23,39,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
24,0,17,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,1,17,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,2,9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,3,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,4,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,6,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,7,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,8,8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,9,20,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,10,53,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,11,70,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,12,93,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,13,75,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,14,59,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,15,74,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,16,76,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,17,65,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,18,53,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,19,30,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,20,22,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,21,31,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,22,9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,23,8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,0,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,4,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,5,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,6,30,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,7,64,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,8,154,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,9,88,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,10,44,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,11,51,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,12,61,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,13,61,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,14,77,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,15,72,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,16,76,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,17,157,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,18,157,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,19,110,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,20,52,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,21,52,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,22,20,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,23,12,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,4,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,5,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,6,36,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,7,94,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,8,179,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,9,100,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,10,42,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,11,57,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,12,78,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,13,97,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,14,63,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,15,65,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,16,83,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,17,212,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,18,182,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,19,112,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,20,54,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,21,48,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,22,35,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,23,11,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,0,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
93,1,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,2,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,4,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,5,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97,6,33,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,7,88,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,8,195,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,9,115,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,10,57,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
